instrument_name,strike,option_type,expiration,mark_iv,open_interest,delta,gamma,vega,theta
BTC-26MAY26-67000-P,67000.0,put,1779782400000,80.12,3.6,0.0,0.0,0.00015,-0.00048
BTC-26MAY26-68000-P,68000.0,put,1779782400000,80.09,10.7,-1e-05,0.0,0.00134,-0.00512
BTC-26MAY26-69000-P,69000.0,put,1779782400000,74.22,8.4,-2e-05,0.0,0.00284,-0.0109
BTC-26MAY26-70000-P,70000.0,put,1779782400000,66.68,31.7,-4e-05,0.0,0.00439,-0.01582
BTC-26MAY26-71000-P,71000.0,put,1779782400000,60.85,50.5,-9e-05,0.0,0.01077,-0.03925
BTC-26MAY26-72000-P,72000.0,put,1779782400000,56.32,28.5,-0.00035,0.0,0.03776,-0.15039
BTC-26MAY26-72500-P,72500.0,put,1779782400000,54.39,25.0,-0.00075,0.0,0.0764,-0.32729
BTC-26MAY26-73000-C,73000.0,call,1779782400000,49.16,1.0,0.99917,0.0,0.0842,-2.06949
BTC-26MAY26-73000-P,73000.0,put,1779782400000,49.16,147.1,-0.00083,0.0,0.0842,-0.33082
BTC-26MAY26-73500-P,73500.0,put,1779782400000,45.52,67.1,-0.00135,0.0,0.13081,-0.51236
BTC-26MAY26-74000-C,74000.0,call,1779782400000,44.66,2.3,0.99608,1e-05,0.34318,-7.66361
BTC-26MAY26-74000-P,74000.0,put,1779782400000,44.66,102.4,-0.00392,1e-05,0.34318,-1.59416
BTC-26MAY26-74500-C,74500.0,call,1779782400000,42.39,5.3,0.99144,2e-05,0.68638,-14.54713
BTC-26MAY26-74500-P,74500.0,put,1779782400000,42.39,101.3,-0.00856,2e-05,0.68638,-3.55987
BTC-26MAY26-75000-C,75000.0,call,1779782400000,38.89,80.4,0.98407,3e-05,1.17698,-22.88651
BTC-26MAY26-75000-P,75000.0,put,1779782400000,38.89,245.9,-0.01593,3e-05,1.17698,-6.51042
BTC-26MAY26-75500-C,75500.0,call,1779782400000,36.0,52.1,0.96662,7e-05,2.19369,-39.48566
BTC-26MAY26-75500-P,75500.0,put,1779782400000,36.0,180.5,-0.03338,7e-05,2.19369,-13.90881
BTC-26MAY26-76000-C,76000.0,call,1779782400000,30.38,63.8,0.94519,0.00012,3.27444,-49.74555
BTC-26MAY26-76000-P,76000.0,put,1779782400000,30.39,153.3,-0.05483,0.00012,3.27528,-20.77354
BTC-26MAY26-76500-C,76500.0,call,1779782400000,27.36,325.6,0.87578,0.00025,6.04985,-82.77108
BTC-26MAY26-76500-P,76500.0,put,1779782400000,27.36,129.7,-0.12381,0.00025,6.03582,-49.51251
BTC-26MAY26-77000-C,77000.0,call,1779782400000,25.05,27.6,0.71897,0.00046,9.95425,-124.68391
BTC-26MAY26-77000-P,77000.0,put,1779782400000,25.05,116.5,-0.28103,0.00046,9.95425,-124.68391
BTC-26MAY26-77500-C,77500.0,call,1779782400000,24.3,129.9,0.4597,0.00055,11.71606,-142.36754
BTC-26MAY26-77500-P,77500.0,put,1779782400000,24.3,36.6,-0.5403,0.00055,11.71606,-142.36754
BTC-26MAY26-78000-C,78000.0,call,1779782400000,25.13,63.2,0.22103,0.0004,8.76367,-94.54354
BTC-26MAY26-78000-P,78000.0,put,1779782400000,25.13,14.7,-0.77897,0.0004,8.76367,-110.11309
BTC-26MAY26-78500-C,78500.0,call,1779782400000,27.18,64.4,0.09236,0.00021,4.88624,-34.71653
BTC-26MAY26-78500-P,78500.0,put,1779782400000,27.18,0.5,-0.90764,0.00021,4.88645,-66.41852
BTC-26MAY26-79000-C,79000.0,call,1779782400000,30.52,135.7,0.04221,0.0001,2.65689,-15.56155
BTC-26MAY26-79500-C,79500.0,call,1779782400000,34.77,114.9,0.02334,5e-05,1.62847,-9.01797
BTC-26MAY26-80000-C,80000.0,call,1779782400000,36.46,69.4,0.00944,2e-05,0.74836,-3.44025
BTC-26MAY26-80500-C,80500.0,call,1779782400000,39.59,34.6,0.00503,1e-05,0.42909,-1.86879
BTC-26MAY26-81000-C,81000.0,call,1779782400000,39.83,51.3,0.00151,0.0,0.14493,-0.51041
BTC-26MAY26-82000-C,82000.0,call,1779782400000,46.31,49.2,0.00059,0.0,0.06118,-0.21651
BTC-26MAY26-83000-C,83000.0,call,1779782400000,51.86,35.0,0.00023,0.0,0.02512,-0.0874
BTC-26MAY26-84000-C,84000.0,call,1779782400000,52.82,24.7,3e-05,0.0,0.00339,-0.00947
BTC-26MAY26-85000-C,85000.0,call,1779782400000,52.82,2.4,0.0,0.0,0.00027,-0.00059
BTC-27MAY26-66000-P,66000.0,put,1779868800000,72.05,2.0,-0.00029,0.0,0.05298,-0.26398
BTC-27MAY26-67000-P,67000.0,put,1779868800000,72.05,1.2,-0.0009,0.0,0.15266,-0.89497
